Time,Price
0.000000,100.000000
0.003968,100.955622
0.007937,101.289072
0.011905,100.289803
0.015873,102.052140
0.019841,105.496418
0.023810,106.458772
0.027778,103.813045
0.031746,105.861580
0.035714,104.019191
0.039683,102.894841
0.043651,104.399137
0.047619,101.608851
0.051587,100.616202
0.055556,98.913084
0.059524,96.335239
0.063492,97.028487
0.067460,96.303037
0.071429,95.012542
0.075397,100.843905
0.079365,99.662469
0.083333,98.638618
0.087302,97.832063
0.091270,96.033666
0.095238,93.181532
0.099206,95.291139
0.103175,96.625543
0.107143,96.160647
0.111111,97.950976
0.115079,98.405291
0.119048,100.871313
0.123016,101.899479
0.126984,99.591006
0.130952,99.798873
0.134921,100.964521
0.138889,101.506555
0.142857,100.447171
0.146825,100.723806
0.150794,103.875525
0.154762,101.759899
0.158730,101.447919
0.162698,104.635534
0.166667,103.997509
0.170635,105.860276
0.174603,104.295695
0.178571,106.403762
0.182540,105.776569
0.186508,104.743712
0.190476,101.290327
0.194444,102.177747
0.198413,100.547835
0.202381,98.502528
0.206349,100.660008
0.210317,103.437445
0.214286,103.091672
0.218254,102.771564
0.222222,104.443562
0.226190,103.261148
0.230159,104.945097
0.234127,107.040970
0.238095,104.606556
0.242063,107.399480
0.246032,105.186569
0.250000,106.369986
0.253968,109.159547
0.257937,108.347216
0.261905,106.492809
0.265873,109.078018
0.269841,105.293438
0.273810,105.469690
0.277778,105.356389
0.281746,107.712698
0.285714,108.190099
0.289683,107.057005
0.293651,105.502988
0.297619,103.544362
0.301587,104.392981
0.305556,104.876924
0.309524,104.293325
0.313492,106.409303
0.317460,107.571946
0.321429,105.060961
0.325397,108.776942
0.329365,110.093653
0.333333,111.608596
0.337302,115.851475
0.341270,116.769966
0.345238,115.224520
0.349206,111.582842
0.353175,113.314106
0.357143,110.465238
0.361111,109.031868
0.365079,109.834663
0.369048,107.756772
0.373016,108.977474
0.376984,110.992350
0.380952,112.892846
0.384921,113.750461
0.388889,113.088688
0.392857,113.785242
0.396825,114.220520
0.400794,115.182631
0.404762,114.824040
0.408730,111.955034
0.412698,110.152308
0.416667,108.260730
0.420635,103.389735
0.424603,102.251839
0.428571,98.551523
0.432540,94.265977
0.436508,92.913759
0.440476,94.884918
0.444444,97.330138
0.448413,97.833674
0.452381,97.046115
0.456349,100.117917
0.460317,100.422133
0.464286,100.668139
0.468254,100.026063
0.472222,98.458767
0.476190,98.860269
0.480159,102.225757
0.484127,103.349217
0.488095,102.765772
0.492063,100.083186
0.496032,100.737431
0.500000,96.991996
0.503968,96.482187
0.507937,95.921698
0.511905,98.390948
0.515873,96.991258
0.519841,95.786215
0.523810,94.449930
0.527778,95.088458
0.531746,95.212505
0.535714,94.174404
0.539683,96.762736
0.543651,96.767921
0.547619,93.325188
0.551587,93.502516
0.555556,92.110117
0.559524,94.552346
0.563492,95.058425
0.567460,92.825817
0.571429,92.979758
0.575397,91.254075
0.579365,93.340674
0.583333,93.731654
0.587302,92.678028
0.591270,95.865440
0.595238,95.520373
0.599206,97.121137
0.603175,94.982485
0.607143,92.915279
0.611111,91.424629
0.615079,89.973436
0.619048,90.586588
0.623016,92.735676
0.626984,89.138905
0.630952,90.289430
0.634921,91.145528
0.638889,92.558365
0.642857,95.452421
0.646825,95.237269
0.650794,92.747300
0.654762,92.241374
0.658730,95.210129
0.662698,95.575920
0.666667,94.760563
0.670635,95.062415
0.674603,100.709587
0.678571,102.215487
0.682540,100.259346
0.686508,102.687765
0.690476,101.948680
0.694444,105.001447
0.698413,106.819254
0.702381,110.355219
0.706349,112.058498
0.710317,108.180762
0.714286,107.723791
0.718254,104.957355
0.722222,105.774468
0.726190,105.816928
0.730159,102.083144
0.734127,102.411025
0.738095,102.231582
0.742063,103.009775
0.746032,103.294520
0.750000,102.472664
0.753968,106.885030
0.757937,104.444577
0.761905,107.501471
0.765873,105.295285
0.769841,103.745709
0.773810,103.133464
0.777778,105.208936
0.781746,104.465718
0.785714,107.030338
0.789683,104.291135
0.793651,103.114584
0.797619,99.431260
0.801587,98.993838
0.805556,99.099549
0.809524,99.302011
0.813492,94.560962
0.817460,92.535542
0.821429,90.384403
0.825397,93.096037
0.829365,93.464001
0.833333,95.130588
0.837302,95.006251
0.841270,95.101060
0.845238,97.329587
0.849206,97.635729
0.853175,98.876054
0.857143,99.776898
0.861111,99.833196
0.865079,100.321090
0.869048,100.815567
0.873016,99.203524
0.876984,95.405290
0.880952,92.066341
0.884921,92.829782
0.888889,96.028709
0.892857,95.364057
0.896825,95.741269
0.900794,93.490930
0.904762,90.295515
0.908730,90.368770
0.912698,92.610120
0.916667,94.745902
0.920635,93.960757
0.924603,94.357484
0.928571,93.827002
0.932540,92.519973
0.936508,92.595044
0.940476,94.716811
0.944444,93.101044
0.948413,90.260773
0.952381,90.699287
0.956349,91.281301
0.960317,93.255078
0.964286,95.391120
0.968254,96.203760
0.972222,98.074122
0.976190,95.149808
0.980159,94.796915
0.984127,93.292063
0.988095,96.561207
0.992063,95.375965
0.996032,94.532140
1.000000,96.347094
