log_spot,integrand
4,-0
4.05,-0
4.1,0
4.15,0
4.2,0
4.25,0
4.3,0
4.35,0
4.4,0
4.45,0
4.5,0
4.55,0
4.6,0
4.65,9.37354
4.7,20.5977
4.75,29.5065
4.8,33.8705
4.85,33.2699
4.9,28.7168
4.95,21.9997
5,14.9927
5.05,9.04817
5.1,4.77593
5.15,2.1662
5.2,0.830163
5.25,0.265952
5.3,0.0711159
5.35,0.0160257
5.4,0.00311138
5.45,0.000538032
5.5,8.58294e-05
5.55,1.28915e-05
5.6,1.81615e-06
5.65,2.35308e-07
5.7,2.74722e-08
5.75,2.85104e-09
5.8,2.61194e-10
5.85,2.10658e-11
5.9,1.49464e-12
5.95,9.33008e-14
6,5.12623e-15
6.05,2.48012e-16
6.1,1.05707e-17
6.15,3.97075e-19
6.2,1.31507e-20
6.25,3.84147e-22
6.3,9.9012e-24
6.35,2.25286e-25
6.4,4.5289e-27
6.45,8.05854e-29
6.5,1.27546e-30
6.55,1.82192e-32
6.6,2.45124e-34
6.65,3.45769e-36
6.7,6.01839e-38
6.75,1.35636e-39
6.8,3.47934e-41
6.85,8.98037e-43
6.9,2.21179e-44
6.95,5.11339e-46
7,1.10482e-47
